日期(0), 名稱(1), 開盤價(2), 高點(3), 低點(4), 收盤價(5), 成交量(6)
2001/04/04,B,51.5,53,49.9,50.5,10903
2001/04/04,C,31.3,31.9,31.1,31.4,12507
2001/04/06,A,25.8,25.9,25.5,25.7,9881
2001/04/06,B,51.5,52,49,49.8,12131
2001/04/06,C,32.4,32.4,31.8,31.8,14446
2001/04/09,A,25.7,25.7,25,25.1,6766
2001/04/09,B,49.8,49.8,48.8,49,7657
2001/04/09,C,31.4,31.6,31,31.1,10850
2001/04/10,A,25.1,25.7,25.1,25.4,8209
2001/04/10,B,49.3,50.5,49.2,49.3,10459
2001/04/10,C,31.1,31.6,30.5,30.5,14521
2001/04/11,A,25.9,25.9,25,25.4,8788
2001/04/11,B,50,51,49.6,50.5,5296
2001/04/11,C,31.1,31.5,30.6,31.5,17958
2001/04/12,A,25.3,25.4,24.5,24.5,17141
2001/04/12,B,51,51,50,50,3152
2001/04/12,C,31.5,31.6,31,31.1,12369
2001/04/13,A,24.5,25.2,24.3,24.4,12116
2001/04/13,B,50.5,51.5,50,50.5,4664
2001/04/13,C,31.5,32.4,31.4,31.5,27855
2001/04/16,A,24.4,24.5,23.8,23.9,6472
2001/04/16,B,50.5,50.5,49.2,49.2,2358
2001/04/16,C,31.1,31.1,30.3,30.4,19618
2001/04/17,A,23.8,24.5,23.8,24.3,5612
2001/04/17,B,49.2,50,49,49.3,3435
2001/04/17,C,30.4,30.8,30.3,30.3,11549
2001/04/18,A,24.6,25.1,24.6,24.7,8127
2001/04/18,B,50,50.5,49.8,50,2934
2001/04/18,C,30.8,30.8,30.5,30.5,10858
2001/04/19,A,25.5,25.5,24.7,24.8,12694
2001/04/19,B,51.5,51.5,50.5,50.5,7323
2001/04/19,C,31.2,31.5,30.9,31.1,20760
2001/04/20,A,24.8,25.2,24.2,24.2,9243
2001/04/20,B,51.5,51.5,50.5,50.5,3393
2001/04/20,C,31.5,31.5,30.6,30.7,10980
2001/04/23,A,24.2,24.5,24,24,6816
2001/04/23,B,51,51.5,50.5,51,3153
2001/04/23,C,31,31.2,30.5,31,8796
2001/04/24,A,24,24.4,24,24.1,5829
2001/04/24,B,51,52,51,51,4298
2001/04/24,C,30.8,31.2,30.6,30.6,8818
2001/04/25,A,24.3,24.5,23.8,23.8,5571
2001/04/25,B,51.5,51.5,50,50,6729
2001/04/25,C,30.8,31.4,30.7,30.8,16090
2001/04/26,A,24.1,24.5,23.9,24.3,11262
2001/04/26,B,50.5,50.5,49.5,49.5,7136
2001/04/26,C,31,31.2,30.6,30.6,9026
2001/04/27,A,24.3,24.4,23.8,23.8,7258
2001/04/27,B,49.5,49.5,47.8,47.8,12245
2001/04/27,C,30.6,30.8,30,30,11745
2001/04/30,A,24,24.2,23.5,24,6319
2001/04/30,B,47.8,48.5,47.3,48.5,7166
2001/04/30,C,30,30.2,29.3,29.3,11978
2001/05/02,A,24.2,24.4,22.4,23,8650
2001/05/02,B,48.5,48.8,47,47.9,6492
2001/05/02,C,29.5,30,27.3,27.9,19961
2001/05/03,A,23.4,23.6,23,23.4,6202
2001/05/03,B,47.9,48.5,47.3,48.4,7594
2001/05/03,C,28.4,29,28,28.9,11833
2001/05/04,A,23.4,24.6,23,23.3,11971
2001/05/04,B,48.4,50.5,47.8,49,18035
2001/05/04,C,29,30.2,28.3,28.4,20477
2001/05/07,A,23.5,24.2,23.2,23.8,7213
2001/05/07,B,49.3,49.3,48.2,49,5502
2001/05/07,C,28.6,28.9,28.3,28.4,10961
2001/05/08,A,23.8,24.2,23.6,23.9,10120
2001/05/08,B,49,49.5,48.3,49.2,5921
2001/05/08,C,28.4,28.7,27.6,28,13375
2001/05/09,A,24.1,24.8,23.9,24.6,8100
2001/05/09,B,49.2,50,48.8,50,4830
2001/05/09,C,28.2,28.7,28,28.4,12114
2001/05/10,A,24.6,24.7,23.8,23.8,5969
2001/05/10,B,50,50.5,49.5,50,3933
2001/05/10,C,28.4,28.5,27.8,28,8497
2001/05/11,A,24.4,25.4,24,25.4,21365
2001/05/11,B,49.5,50.5,48.3,50,10971
2001/05/11,C,28.2,29.1,27.6,28.8,22063
2001/05/14,A,25.2,25.8,25,25.5,12661
2001/05/14,B,49,49.5,48.5,48.7,4153
2001/05/14,C,28.3,28.5,28,28,6837
2001/05/15,A,25.6,25.8,24.9,25.1,8121
2001/05/15,B,48.7,49.1,48,48.6,5409
2001/05/15,C,28.4,28.4,28,28,5576
2001/05/16,A,25.2,26,25,25.5,13537
2001/05/16,B,48,48.3,47.5,48,5176
2001/05/16,C,28,28.3,27.7,27.7,7365
2001/05/17,A,25.8,26,25.3,25.6,9097
2001/05/17,B,47.1,48.2,47.1,48,7843
2001/05/17,C,28.2,28.7,28.1,28.4,15815
2001/05/18,A,25.6,25.7,24.8,24.9,8553
2001/05/18,B,47.5,47.9,45,45.2,21096
2001/05/18,C,28.6,28.7,27.8,27.9,12532
2001/05/21,A,24.6,25,24.1,24.5,6687
2001/05/21,B,45,45,42.7,44.7,12350
2001/05/21,C,27.9,27.9,26,26.4,23080
2001/05/22,A,24.7,25,24.5,24.8,6712
2001/05/22,B,44.2,44.9,43.7,43.7,10664
2001/05/22,C,26.5,26.9,26.4,26.5,16394
2001/05/23,A,24.5,25.3,24.2,25.2,6116
2001/05/23,B,43.5,45.5,43.1,44.6,11455
2001/05/23,C,26.5,28.3,26.4,28.3,26514
2001/05/24,A,25,25.2,24.5,24.9,3973
2001/05/24,B,44.6,45.1,44,44,7344
2001/05/24,C,28.4,28.9,28.2,28.3,21060
